age,gender,gender_other,race,hhsize,children,zipcode,education,employment,hhincome,evinhh,hhveh,vehpurch_yr,monthly_gas,carpurp,carpurp_other,yearly_longdist,gas_reliab,rent,parking,move,used,budget,vehclass,homecharge,lowreliab_1,lowreliab_2,lowreliab_3,lowreliab_4,lowreliab_5,control_1,control_2,control_3,control_4,control_5,highreliab_1,highreliab_2,highreliab_3,highreliab_4,highreliab_5,CE_ChoiceTask_1_1,CE_ChoiceTask_2_1,CE_ChoiceTask_3_1,CE_ChoiceTask_4_1,CE_ChoiceTask_5_1,CE_ChoiceTask_6_1,CE_ChoiceTask_7_1,CE_ChoiceTask_8_1,CE_ChoiceTask_9_1,CE_ChoiceTask_10_1,techanxiety1,slownessofadopt1,resisttoinnov1,techanxiety2,slownessofadopt2,resisttoinnov2,resisttoinnov3,slownessofadopt3,techanxiety3,techanxiety4,slownessofadopt4,psid,errorMessage,customLink2,customLink3,zipcode,zip_region,Attributes.VisitorId.N,number,treatment,survey_index,evprice_1,icevprice_1,evrange_1,icevrange_1,evopcost_1,icevopcost_1,evchargavail_1,evprice_2,icevprice_2,evrange_2,icevrange_2,evopcost_2,icevopcost_2,evchargavail_2,evprice_3,icevprice_3,evrange_3,icevrange_3,evopcost_3,icevopcost_3,evchargavail_3,evprice_4,icevprice_4,evrange_4,icevrange_4,evopcost_4,icevopcost_4,evchargavail_4,evprice_5,icevprice_5,evrange_5,icevrange_5,evopcost_5,icevopcost_5,evchargavail_5,evprice_6,icevprice_6,evrange_6,icevrange_6,evopcost_6,icevopcost_6,evchargavail_6,evprice_7,icevprice_7,evrange_7,icevrange_7,evopcost_7,icevopcost_7,evchargavail_7,evprice_8,icevprice_8,evrange_8,icevrange_8,evopcost_8,icevopcost_8,evchargavail_8,evprice_9,icevprice_9,evrange_9,icevrange_9,evopcost_9,icevopcost_9,evchargavail_9,evprice_10,icevprice_10,evrange_10,icevrange_10,evopcost_10,icevopcost_10,evchargavail_10,reliab_1,reliab_2,reliab_3,reliab_4,reliab_5
21,2,,White,3,0,45409,8,3,12,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2021,3-4 Times per Month,"Commuting to work,Running errands,Driving locally",,Less than Once per Year,5,3,Assigned parking space in a shared lot or garage,Less than 2 years,1,10000,2,1,,,,,,,,,,,97,6.0,6.0,6.0,6.0,1,2,1,2,2,2,2,1,2,1,2,2,2,3,4,4,3,4,2,3,3,4k_AFcoRAY_jhrUCRGOKqw**,,,,45409,4,476,476,2,158,10000,8000,400,200,10,15,75,9000,7000,300,200,5,12.5,75,8000,10000,400,200,7.5,5,100,10000,7000,400,300,15,5,25,9000,10000,300,400,12.5,10,25,8000,7000,200,400,5,12.5,50,7000,8000,200,400,7.5,7.5,75,8000,9000,400,300,5,15,50,8000,7000,300,400,15,7.5,25,7000,10000,300,300,12.5,7.5,75,97,6.0,6.0,6.0,6.0
40,2,,Black or African American,1,0,77037,8,3,5,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2018,3-4 Times per Month,"Running errands,Driving locally,Another","Visiting family and friends, Going out",Less than Once per Year,5,1,Attached private garage,Not sure,0,27000,2,1,39,3.0,3.0,4.0,3.0,,,,,,,,,,,2,2,2,2,2,2,2,1,2,2,5,3,3,5,3,4,3,3,3,5,3,4k_AFcoRAY98rrYLNCT-xQ**,,,,77037,7,477,477,0,159,21600,18900,300,200,12.5,12.5,10,21600,27000,300,200,10,15,50,24300,18900,300,400,5,5,10,18900,27000,200,200,10,15,25,18900,18900,300,200,15,12.5,50,27000,21600,400,300,5,10,25,27000,27000,300,400,10,7.5,50,27000,24300,300,300,10,7.5,100,27000,24300,200,200,12.5,5,10,21600,27000,200,400,10,15,25,39,3.0,3.0,4.0,3.0
22,2,,"White,Hispanic or Latino",5,1,48327,8,4,5,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",3,2016,3-4 Times per Month,"Running errands,Driving locally,Another","Going to get food, drive around baby ",Less than Once per Year,5,3,Driveway or carport,I do not plan to move out from my current home,1,10000,2,1,,,,,,69,4.0,5.0,4.0,5.0,,,,,,2,2,2,2,2,2,2,2,2,2,4,2,3,4,3,3,3,3,4,4,3,4k_AFcoRAY8yPyrAs9g0xQ**,,,,48327,4,478,478,1,159,8000,7000,300,200,12.5,12.5,10,8000,10000,300,200,10,15,50,9000,7000,300,400,5,5,10,7000,10000,200,200,10,15,25,7000,7000,300,200,15,12.5,50,10000,8000,400,300,5,10,25,10000,10000,300,400,10,7.5,50,10000,9000,300,300,10,7.5,100,10000,9000,200,200,12.5,5,10,8000,10000,200,400,10,15,25,69,4.0,5.0,4.0,5.0
21,2,,Asian,3,0,19148,8,2,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2013,Less than Once per Month,"Commuting to work,Driving locally",,Less than Once per Year,4,0,On street,I do not plan to move out from my current home,1,8000,1,0,,,,,,,,,,,65,4.0,4.0,4.0,4.0,1,1,2,1,1,2,1,2,2,1,3,2,2,3,3,2,3,3,2,3,3,4k_AFcoRAY86VY2Q8X6UtA**,,,,19148,1,479,479,2,159,6400,5600,300,200,12.5,12.5,10,6400,8000,300,200,10,15,50,7200,5600,300,400,5,5,10,5600,8000,200,200,10,15,25,5600,5600,300,200,15,12.5,50,8000,6400,400,300,5,10,25,8000,8000,300,400,10,7.5,50,8000,7200,300,300,10,7.5,100,8000,7200,200,200,12.5,5,10,6400,8000,200,400,10,15,25,65,4.0,4.0,4.0,4.0
37,2,,Black or African American,3,1,30044,1,1,7,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2018,More than 4 Times per Month,"Commuting to work,Driving locally,Another",,Multiple Times per Year,4,0,Attached private garage,I do not plan to move out from my current home,0,60000,2,1,0,4.0,3.0,4.0,3.0,,,,,,,,,,,2,2,2,1,2,1,1,1,2,2,5,3,3,5,5,5,5,5,3,4,4,4k_AFcoRAY9QCphiZX5zaQ**,,,,30044,3,480,480,0,160,60000,48000,300,400,15,7.5,25,48000,42000,300,200,12.5,15,100,60000,54000,400,200,15,10,100,48000,60000,200,400,15,5,25,54000,60000,300,200,15,7.5,10,42000,42000,400,200,10,10,100,60000,60000,200,400,5,12.5,25,42000,42000,400,400,7.5,12.5,25,54000,60000,400,300,12.5,7.5,100,48000,42000,200,400,10,7.5,50,0,4.0,3.0,4.0,3.0
18,2,,Black or African American,2,0,31707,4,2,12,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2021,1-2 Times per Month,Commuting to work,,Never,5,1,Assigned parking space in a shared lot or garage,Less than 2 years,0,8000,1,0,,,,,,,,,,,32,3.0,2.0,3.0,3.0,2,2,2,2,2,2,2,2,2,2,5,3,3,5,4,4,5,4,4,4,2,4k_AFcoRAY9CBgajjlCdsw**,,,,31707,3,482,482,2,160,8000,6400,300,400,15,7.5,25,6400,5600,300,200,12.5,15,100,8000,7200,400,200,15,10,100,6400,8000,200,400,15,5,25,7200,8000,300,200,15,7.5,10,5600,5600,400,200,10,10,100,8000,8000,200,400,5,12.5,25,5600,5600,400,400,7.5,12.5,25,7200,8000,400,300,12.5,7.5,100,6400,5600,200,400,10,7.5,50,32,3.0,2.0,3.0,3.0
20,2,,Asian,2,0,43210,1,3,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2021,3-4 Times per Month,"Commuting to work,Running errands",,Less than Once per Year,4,1,Unassigned parking space in a shared lot or garage,In the next 2-5 years,0,80000,2,0,,,,,,65,3.0,3.0,2.0,4.0,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,2,3,4,2,2,2,4k_AFcoRAY8-4FScLMk1sg**,,,,43210,4,481,481,1,160,80000,64000,300,400,15,7.5,25,64000,56000,300,200,12.5,15,100,80000,72000,400,200,15,10,100,64000,80000,200,400,15,5,25,72000,80000,300,200,15,7.5,10,56000,56000,400,200,10,10,100,80000,80000,200,400,5,12.5,25,56000,56000,400,400,7.5,12.5,25,72000,80000,400,300,12.5,7.5,100,64000,56000,200,400,10,7.5,50,65,3.0,3.0,2.0,4.0
21,1,,White,3,0,02888,8,6,12,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2023,More than 4 Times per Month,"Commuting to work,Running errands,Driving locally,Extended road trips",,Multiple Times per Year,5,3,Unassigned parking space in a shared lot or garage,Less than 2 years,1,8000,1,0,20,1.0,1.0,1.0,1.0,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,3,3,2,4,4,3,4,4,4,4,4,4k_AFcoRAY-NRzEMuThh8w**,,,,02888,0,483,483,0,161,7200,5600,300,200,7.5,5,75,7200,8000,300,400,15,12.5,10,7200,5600,400,400,15,15,50,5600,7200,200,200,15,15,25,7200,5600,400,200,7.5,12.5,10,8000,5600,200,200,15,15,10,5600,5600,200,400,7.5,5,50,6400,5600,300,200,10,15,50,8000,8000,200,200,7.5,7.5,10,6400,8000,400,400,7.5,15,100,20,1.0,1.0,1.0,1.0
57,1,,Asian,2,0,50613,6,7,8,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2018,1-2 Times per Month,"Running errands,Driving locally,Extended road trips",,Once per Month,5,0,Attached private garage,In more than 5 years,0,75000,1,1,,,,,,,,,,,88,5.0,5.0,5.0,5.0,1,1,1,1,1,1,1,1,1,1,4,4,3,4,4,3,2,4,3,4,4,4k_AFcoRAY93PC8WSuGmMw**,,,,50613,5,485,485,2,161,67500,52500,300,200,7.5,5,75,67500,75000,300,400,15,12.5,10,67500,52500,400,400,15,15,50,52500,67500,200,200,15,15,25,67500,52500,400,200,7.5,12.5,10,75000,52500,200,200,15,15,10,52500,52500,200,400,7.5,5,50,60000,52500,300,200,10,15,50,75000,75000,200,200,7.5,7.5,10,60000,75000,400,400,7.5,15,100,88,5.0,5.0,5.0,5.0
26,1,,White,2,0,28205,6,2,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2023,3-4 Times per Month,Commuting to work,,Multiple Times per Year,5,1,Unassigned parking space in a shared lot or garage,Less than 2 years,1,70000,1,1,71,6.0,5.0,5.0,5.0,,,,,,,,,,,2,1,2,1,2,1,2,1,2,2,4,4,4,4,5,3,2,3,2,4,5,4k_AFcoRAY-tOpCqRHP18Q**,,,,28205,2,486,486,0,162,56000,56000,400,200,7.5,12.5,50,56000,49000,200,200,5,5,50,70000,63000,300,200,7.5,15,50,70000,63000,300,200,7.5,10,100,49000,56000,200,400,12.5,15,10,49000,63000,200,300,5,7.5,75,56000,56000,400,300,5,12.5,25,56000,56000,400,400,10,5,75,49000,49000,200,200,12.5,15,10,56000,49000,300,400,15,7.5,50,71,6.0,5.0,5.0,5.0
56,1,,Hispanic or Latino,2,1,91343,7,2,8,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2017,More than 4 Times per Month,"Commuting to work,Running errands,Driving locally,Extended road trips",,More than Once per Month,5,0,Attached private garage,Not sure,0,35000,1,1,,,,,,,,,,,100,6.0,6.0,6.0,6.0,1,2,2,2,2,2,2,2,2,2,2,4,2,2,1,1,2,1,1,2,4,4k_AFcoRAY_HDuL4bFjpkg**,,,,91343,9,488,488,2,162,28000,28000,400,200,7.5,12.5,50,28000,24500,200,200,5,5,50,35000,31500,300,200,7.5,15,50,35000,31500,300,200,7.5,10,100,24500,28000,200,400,12.5,15,10,24500,31500,200,300,5,7.5,75,28000,28000,400,300,5,12.5,25,28000,28000,400,400,10,5,75,24500,24500,200,200,12.5,15,10,28000,24500,300,400,15,7.5,50,100,6.0,6.0,6.0,6.0
58,2,,"Black or African American,American Indian or Alaska Native",3,0,77380,8,2,5,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",3,2015,More than 4 Times per Month,"Commuting to work,Running errands,Driving locally",,More than Once per Month,4,1,Unassigned parking space in a shared lot or garage,I do not plan to move out from my current home,1,14000,2,0,72,4.0,4.0,4.0,5.0,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,3,2,3,3,3,4k_AFcoRAY9BleL12hDicg**,,,,77380,7,489,489,0,163,12600,9800,200,400,15,7.5,100,11200,9800,200,200,5,10,75,14000,9800,400,200,5,12.5,25,9800,11200,400,400,5,15,50,11200,9800,400,400,15,12.5,25,11200,12600,400,200,5,5,50,14000,9800,400,400,5,10,50,12600,12600,200,200,15,5,10,12600,14000,200,400,5,15,50,11200,9800,400,200,12.5,7.5,10,72,4.0,4.0,4.0,5.0
59,2,,Black or African American,1,0,30517,8,7,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2016,Less than Once per Month,"Running errands,Driving locally,Extended road trips",,Multiple Times per Year,5,0,Attached private garage,Not sure,0,70000,2,0,18,3.0,3.0,3.0,2.0,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,3,2,2,4,4,4,2,4,3,4,2,4k_AFcoRAY_1ekphGrKOnA**,,,,30517,3,492,492,0,164,49000,56000,400,200,10,5,25,63000,56000,400,200,10,5,75,56000,63000,400,200,7.5,7.5,100,63000,70000,300,300,12.5,7.5,50,49000,63000,400,400,5,15,75,56000,49000,200,200,5,15,50,56000,49000,200,200,7.5,10,25,56000,70000,200,300,5,10,50,49000,49000,300,400,15,10,25,56000,70000,200,200,7.5,5,75,18,3.0,3.0,3.0,2.0
55,1,,Asian,2,0,20878,2,2,8,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2013,3-4 Times per Month,"Commuting to work,Running errands,Driving locally,Extended road trips",,Multiple Times per Year,6,0,Attached private garage,In more than 5 years,0,45000,1,0,,,,,,84,5.0,5.0,5.0,5.0,,,,,,2,1,1,1,1,1,2,2,1,1,4,2,3,4,3,5,2,5,3,4,3,4k_AFcoRAY9Iy4U-JLa58g**,,,,20878,2,490,490,1,163,40500,31499.999999999996,200,400,15,7.5,100,36000,31499.999999999996,200,200,5,10,75,45000,31499.999999999996,400,200,5,12.5,25,31499.999999999996,36000,400,400,5,15,50,36000,31499.999999999996,400,400,15,12.5,25,36000,40500,400,200,5,5,50,45000,31499.999999999996,400,400,5,10,50,40500,40500,200,200,15,5,10,40500,45000,200,400,5,15,50,36000,31499.999999999996,400,200,12.5,7.5,10,84,5.0,5.0,5.0,5.0
56,1,,White,2,0,02893,4,2,7,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",3,2023,More than 4 Times per Month,"Commuting to work,Running errands",,Less than Once per Year,6,1,Attached private garage,Less than 2 years,1,15000,1,0,3,1.0,1.0,1.0,1.0,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4k_AFcoRAY9wIqQuqKeUfA**,,,,02893,0,495,495,0,165,12000,12000,300,400,5,10,50,12000,12000,300,300,7.5,5,100,12000,10500,300,400,10,15,10,10500,15000,200,400,5,5,75,13500,10500,400,200,5,12.5,50,13500,13500,300,400,7.5,12.5,75,12000,15000,200,400,15,10,50,13500,15000,200,200,12.5,15,75,12000,12000,400,400,12.5,10,10,13500,13500,300,400,5,12.5,75,3,1.0,1.0,1.0,1.0
31,2,,"Black or African American,Hispanic or Latino",3,0,33321,8,1,4,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2017,1-2 Times per Month,"Commuting to work,Running errands,Driving locally,Extended road trips",,Once per Month,5,1,Assigned parking space in a shared lot or garage,Less than 2 years,0,20000,2,0,,,,,,,,,,,100,5.0,5.0,5.0,5.0,1,1,1,2,1,1,2,2,2,1,4,2,4,4,4,4,3,4,4,4,3,4k_AFcoRAY9DbFaRNkwOTA**,,,,33321,3,494,494,2,164,14000,16000,400,200,10,5,25,18000,16000,400,200,10,5,75,16000,18000,400,200,7.5,7.5,100,18000,20000,300,300,12.5,7.5,50,14000,18000,400,400,5,15,75,16000,14000,200,200,5,15,50,16000,14000,200,200,7.5,10,25,16000,20000,200,300,5,10,50,14000,14000,300,400,15,10,25,16000,20000,200,200,7.5,5,75,100,5.0,5.0,5.0,5.0
55,2,,Black or African American,3,0,65205,6,2,7,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2018,1-2 Times per Month,"Commuting to work,Running errands,Driving locally,Extended road trips",,Less than Once per Year,5,0,Driveway or carport,In more than 5 years,0,45000,1,1,,,,,,49,3.0,3.0,3.0,2.0,,,,,,2,2,2,2,2,2,2,2,2,2,3,2,3,3,4,5,3,4,3,4,3,4k_AFcoRAY9JLSZA-1ImLQ**,,,,65205,6,487,487,1,162,36000,36000,400,200,7.5,12.5,50,36000,31499.999999999996,200,200,5,5,50,45000,40500,300,200,7.5,15,50,45000,40500,300,200,7.5,10,100,31499.999999999996,36000,200,400,12.5,15,10,31499.999999999996,40500,200,300,5,7.5,75,36000,36000,400,300,5,12.5,25,36000,36000,400,400,10,5,75,31499.999999999996,31499.999999999996,200,200,12.5,15,10,36000,31499.999999999996,300,400,15,7.5,50,49,3.0,3.0,3.0,2.0
56,2,,Hispanic or Latino,2,0,86047,4,2,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",3,2015,1-2 Times per Month,"Commuting to work,Running errands,Driving locally",,Multiple Times per Year,5,0,On street,I do not plan to move out from my current home,0,25000,1,1,,,,,,50,4.0,4.0,4.0,3.0,,,,,,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,4k_AFcoRAY_y7xfmRZSbgg**,,,,86047,8,493,493,1,164,17500,20000,400,200,10,5,25,22500,20000,400,200,10,5,75,20000,22500,400,200,7.5,7.5,100,22500,25000,300,300,12.5,7.5,50,17500,22500,400,400,5,15,75,20000,17500,200,200,5,15,50,20000,17500,200,200,7.5,10,25,20000,25000,200,300,5,10,50,17500,17500,300,400,15,10,25,20000,25000,200,200,7.5,5,75,50,4.0,4.0,4.0,3.0
58,1,,White,3,0,58482,6,2,8,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",3,2024,More than 4 Times per Month,"Commuting to work,Running errands,Driving locally,Extended road trips",,Multiple Times per Year,5,0,Attached private garage,I do not plan to move out from my current home,1,13000,2,1,,,,,,,,,,,40,3.0,3.0,3.0,2.0,2,2,2,2,2,2,2,2,2,2,3,1,2,2,2,2,2,3,2,2,2,4k_AFcoRAY8-kRjXOPsUyg**,,,,58482,5,497,497,2,165,10400,10400,300,400,5,10,50,10400,10400,300,300,7.5,5,100,10400,9100,300,400,10,15,10,9100,13000,200,400,5,5,75,11700,9100,400,200,5,12.5,50,11700,11700,300,400,7.5,12.5,75,10400,13000,200,400,15,10,50,11700,13000,200,200,12.5,15,75,10400,10400,400,400,12.5,10,10,11700,11700,300,400,5,12.5,75,40,3.0,3.0,3.0,2.0
59,1,,"White,Hispanic or Latino",3,0,33014,2,2,8,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2016,3-4 Times per Month,"Commuting to work,Running errands,Driving locally,Extended road trips",,Multiple Times per Year,3,0,Attached private garage,I do not plan to move out from my current home,0,75000,1,1,,,,,,64,5.0,5.0,5.0,5.0,,,,,,1,1,2,1,1,1,1,1,1,1,2,2,2,3,2,3,3,2,3,3,2,4k_AFcoRAY_mUJJ2aiLCPg**,,,,33014,3,496,496,1,165,60000,60000,300,400,5,10,50,60000,60000,300,300,7.5,5,100,60000,52500,300,400,10,15,10,52500,75000,200,400,5,5,75,67500,52500,400,200,5,12.5,50,67500,67500,300,400,7.5,12.5,75,60000,75000,200,400,15,10,50,67500,75000,200,200,12.5,15,75,60000,60000,400,400,12.5,10,10,67500,67500,300,400,5,12.5,75,64,5.0,5.0,5.0,5.0
59,1,,Hispanic or Latino,3,0,93309,4,2,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2019,3-4 Times per Month,"Commuting to work,Running errands,Driving locally",,Less than Once per Year,3,1,On street,I do not plan to move out from my current home,0,45000,2,0,,,,,,12,1.0,1.0,3.0,1.0,,,,,,2,2,2,2,2,2,2,2,2,2,2,1,1,3,2,2,3,2,2,2,2,4k_AFcoRAY9hEJ5loN0u9Q**,,,,93309,9,499,499,1,166,31499.999999999996,36000,200,400,7.5,15,75,36000,40500,200,400,15,12.5,75,40500,45000,300,400,7.5,10,75,36000,36000,300,400,15,12.5,100,40500,31499.999999999996,300,400,12.5,10,100,36000,36000,300,400,7.5,12.5,100,40500,36000,300,400,12.5,15,10,36000,36000,300,400,12.5,15,25,45000,36000,400,400,5,7.5,10,31499.999999999996,36000,400,300,15,5,50,12,1.0,1.0,3.0,1.0
59,1,,Black or African American,5,0,19611,1,2,7,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",3,2022,3-4 Times per Month,Commuting to work,,Multiple Times per Year,5,1,Driveway or carport,Less than 2 years,1,8000,3,1,67,4.0,3.0,4.0,5.0,,,,,,,,,,,2,1,2,1,2,1,2,2,1,2,5,3,3,4,4,4,3,4,4,3,3,4k_AFcoRAY8gM0eLGNrjSQ**,,,,19611,1,501,501,0,167,6400,5600,200,200,10,12.5,100,7200,5600,300,300,7.5,15,50,8000,8000,400,400,12.5,10,75,8000,7200,200,200,12.5,5,75,7200,7200,300,400,7.5,5,75,5600,7200,400,200,7.5,5,100,7200,6400,300,400,7.5,5,25,6400,6400,300,200,7.5,5,10,5600,7200,400,200,5,15,50,6400,6400,200,300,7.5,5,25,67,4.0,3.0,4.0,5.0
58,1,,Black or African American,2,0,20019,8,2,8,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2004,1-2 Times per Month,Running errands,,Multiple Times per Year,4,1,Assigned parking space in a shared lot or garage,In the next 2-5 years,0,50000,2,0,,,,,,76,3.0,4.0,4.0,2.0,,,,,,1,2,2,2,2,1,2,2,1,2,5,2,4,4,4,4,4,4,4,4,4,4k_AFcoRAY_OWXf0t6cjOA**,,,,20019,2,502,502,1,167,40000,35000,200,200,10,12.5,100,45000,35000,300,300,7.5,15,50,50000,50000,400,400,12.5,10,75,50000,45000,200,200,12.5,5,75,45000,45000,300,400,7.5,5,75,35000,45000,400,200,7.5,5,100,45000,40000,300,400,7.5,5,25,40000,40000,300,200,7.5,5,10,35000,45000,400,200,5,15,50,40000,40000,200,300,7.5,5,25,76,3.0,4.0,4.0,2.0
59,2,,"White,American Indian or Alaska Native",2,0,98409,8,4,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2021,3-4 Times per Month,"Commuting to work,Running errands,Driving locally,Extended road trips",,Multiple Times per Year,4,1,Driveway or carport,Less than 2 years,0,30000,1,0,,,,,,,,,,,95,5.0,5.0,4.0,5.0,1,2,1,2,2,1,2,2,2,2,4,3,2,4,3,3,3,4,2,4,3,4k_AFcoRAY8ZhnI2nntPXw**,,,,98409,9,500,500,2,166,21000,24000,200,400,7.5,15,75,24000,27000,200,400,15,12.5,75,27000,30000,300,400,7.5,10,75,24000,24000,300,400,15,12.5,100,27000,21000,300,400,12.5,10,100,24000,24000,300,400,7.5,12.5,100,27000,24000,300,400,12.5,15,10,24000,24000,300,400,12.5,15,25,30000,24000,400,400,5,7.5,10,21000,24000,400,300,15,5,50,95,5.0,5.0,4.0,5.0
57,2,,Black or African American,3,1,29115,1,2,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2016,1-2 Times per Month,"Running errands,Driving locally",,Less than Once per Year,4,1,Driveway or carport,Less than 2 years,0,35000,2,1,70,4.0,4.0,4.0,4.0,,,,,,,,,,,1,2,1,2,2,1,2,2,1,2,4,4,3,4,4,3,3,4,2,4,4,4k_AFcoRAY_AT2ZTfes8gA**,,,,29115,2,498,498,0,166,24500,28000,200,400,7.5,15,75,28000,31500,200,400,15,12.5,75,31500,35000,300,400,7.5,10,75,28000,28000,300,400,15,12.5,100,31500,24500,300,400,12.5,10,100,28000,28000,300,400,7.5,12.5,100,31500,28000,300,400,12.5,15,10,28000,28000,300,400,12.5,15,25,35000,28000,400,400,5,7.5,10,24500,28000,400,300,15,5,50,70,4.0,4.0,4.0,4.0
58,1,,Black or African American,3,0,73701,4,2,4,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2022,More than 4 Times per Month,"Commuting to work,Running errands,Driving locally",,Multiple Times per Year,5,1,Driveway or carport,Not sure,1,25000,3,1,50,4.0,5.0,3.0,6.0,,,,,,,,,,,1,1,2,1,1,2,1,2,2,1,5,3,2,4,4,2,3,2,2,4,4,4k_AFcoRAY-_oLZlg0j2DA**,,,,73701,7,504,504,0,168,25000,20000,400,400,12.5,7.5,10,17500,20000,300,400,15,10,75,25000,20000,200,300,15,5,100,17500,25000,200,300,15,7.5,10,17500,25000,200,400,7.5,5,75,20000,25000,200,400,15,12.5,50,20000,25000,300,300,15,10,75,25000,22500,300,200,10,7.5,10,20000,25000,400,400,12.5,12.5,50,25000,22500,200,400,10,10,100,50,4.0,5.0,3.0,6.0
59,2,,"White,Hispanic or Latino",2,0,33410,2,7,8,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",2,2020,1-2 Times per Month,"Running errands,Driving locally",,Multiple Times per Year,5,0,Attached private garage,Less than 2 years,1,50000,2,1,,,,,,,,,,,82,5.0,5.0,4.0,3.0,2,2,2,2,2,2,2,2,1,2,3,3,3,3,3,3,3,4,3,3,3,4k_AFcoRAY-1bAxY9kpGtg**,,,,33410,3,503,503,2,167,40000,35000,200,200,10,12.5,100,45000,35000,300,300,7.5,15,50,50000,50000,400,400,12.5,10,75,50000,45000,200,200,12.5,5,75,45000,45000,300,400,7.5,5,75,35000,45000,400,200,7.5,5,100,45000,40000,300,400,7.5,5,25,40000,40000,300,200,7.5,5,10,35000,45000,400,200,5,15,50,40000,40000,200,300,7.5,5,25,82,5.0,5.0,4.0,3.0
58,2,,"White,Hispanic or Latino",1,0,19973,1,2,6,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2020,3-4 Times per Month,"Commuting to work,Running errands,Driving locally",,Once per Month,5,0,Attached private garage,I do not plan to move out from my current home,0,30000,1,1,,,,,,,,,,,50,4.0,4.0,4.0,4.0,2,2,2,2,2,2,2,2,2,2,4,4,3,5,4,4,3,4,4,4,4,4k_AFcoRAY8Mce18KOh-XQ**,,,,19973,1,506,506,2,168,30000,24000,400,400,12.5,7.5,10,21000,24000,300,400,15,10,75,30000,24000,200,300,15,5,100,21000,30000,200,300,15,7.5,10,21000,30000,200,400,7.5,5,75,24000,30000,200,400,15,12.5,50,24000,30000,300,300,15,10,75,30000,27000,300,200,10,7.5,10,24000,30000,400,400,12.5,12.5,50,30000,27000,200,400,10,10,100,50,4.0,4.0,4.0,4.0
56,1,,White,1,0,85024,2,2,7,"I, or someone in my household, have not owned or leased a plug-in electric vehicle.",1,2023,1-2 Times per Month,"Running errands,Driving locally",,Less than Once per Year,5,0,Attached private garage,In the next 2-5 years,1,40000,2,1,,,,,,80,4.0,4.0,3.0,3.0,,,,,,2,2,2,2,2,1,2,2,2,1,4,4,2,4,3,3,3,2,3,4,3,4k_AFcoRAY_d4FvGrHnrTw**,,,,85024,8,508,508,1,169,36000,28000,200,400,15,7.5,25,32000,32000,300,400,5,7.5,50,40000,32000,200,300,10,7.5,50,28000,40000,400,400,15,5,100,40000,32000,200,400,12.5,7.5,25,28000,32000,400,200,5,10,75,28000,28000,200,400,5,7.5,10,40000,36000,200,200,7.5,7.5,50,32000,32000,300,300,15,10,75,36000,40000,400,400,5,7.5,100,80,4.0,4.0,3.0,3.0
